date_notif,zone_sante,province,sexe_norm,tranche_age,n_alertes,n_suspects,n_suspects_lien_epi,n_preleves,n_recus,n_analyses,n_echantillons_valides,n_confirmes,n_deces,n_deces_suspects,n_deces_confirmes,n_gueri
2026-05-19T00:00:00.000000,Bunia,Ituri,Feminin,25-44 ans,3,3,0,1,1,1,1,1,0,0,0,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Feminin,45-64 ans,3,1,0,0,0,0,0,0,0,0,0,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Feminin,5-14 ans,2,2,1,0,1,1,1,1,1,1,0,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Feminin,65+ ans,3,3,0,2,2,2,2,1,1,0,1,0
2026-05-19T00:00:00.000000,Nyankunde,Ituri,Masculin,45-64 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Masculin,0-4 ans,2,2,0,0,0,0,0,0,1,1,0,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Masculin,15-24 ans,5,5,0,4,3,3,2,2,1,0,1,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Masculin,25-44 ans,7,7,2,2,3,3,2,2,1,1,0,0
2026-05-19T00:00:00.000000,Bunia,Ituri,Masculin,45-64 ans,4,4,1,2,2,2,2,0,1,1,0,0
2026-05-19T00:00:00.000000,Rwampara,Ituri,Feminin,15-24 ans,5,5,2,3,2,2,2,1,0,0,0,0
2026-05-19T00:00:00.000000,Kilo,Ituri,Feminin,15-24 ans,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-19T00:00:00.000000,Kilo,Ituri,Feminin,25-44 ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-19T00:00:00.000000,Kilo,Ituri,Masculin,15-24 ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-19T00:00:00.000000,Kilo,Ituri,Masculin,25-44 ans,2,2,0,1,1,1,1,0,0,0,0,0
2026-05-19T00:00:00.000000,Mongbwalu,Ituri,Feminin,25-44 ans,2,2,0,2,1,1,1,0,0,0,0,0
2026-05-19T00:00:00.000000,Mongbwalu,Ituri,Feminin,65+ ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-19T00:00:00.000000,Mongbwalu,Ituri,Masculin,25-44 ans,2,2,0,2,1,1,1,1,0,0,0,0
2026-05-19T00:00:00.000000,nk Butembo,nk Nord Kivu,Masculin,15-24 ans,2,2,2,0,0,0,0,0,0,0,0,0
2026-05-19T00:00:00.000000,nk Butembo,nk Nord Kivu,Masculin,25-44 ans,1,1,0,1,1,1,1,0,1,1,0,0
2026-05-19T00:00:00.000000,nk Goma,nk Nord Kivu,Feminin,15-24 ans,1,1,0,1,0,0,0,0,0,0,0,0
2026-05-19T00:00:00.000000,nk Goma,nk Nord Kivu,Feminin,25-44 ans,1,1,0,1,0,0,0,0,0,0,0,0
2026-05-21T00:00:00.000000,Nyankunde,Ituri,Feminin,5-14 ans,2,2,2,2,0,0,0,0,0,0,0,0
2026-05-21T00:00:00.000000,Nyankunde,Ituri,Masculin,25-44 ans,6,6,4,5,0,0,0,0,0,0,0,0
